 Corr.Time[ms]           Correlation(1->2+2->1)  Weighting(1->2+2->1)    Correlation(1->2)       Weighting(1->2)         Correlation(2->1)       Weighting(2->1)
 4.99999988824129E-0003  1.03738147880358E+0000  8.79566877579867E+0001  1.03738147880358E+0000  8.79566877579867E+0001  1.03738147880358E+0000  8.79566877579867E+0001
 5.40000014007092E-0003  1.05244732712389E+0000  5.64096784679886E+0001  1.05244732712389E+0000  5.64096784679886E+0001  1.05244732712389E+0000  5.64096784679886E+0001
 6.00000005215406E-0003  1.03851450028778E+0000  9.32438430121710E+0001  1.03851450028778E+0000  9.32438430121710E+0001  1.03851450028778E+0000  9.32438430121710E+0001
 6.80000009015203E-0003  1.05760294700987E+0000  1.29356106766667E+0002  1.05760294700987E+0000  1.29356106766667E+0002  1.05760294700987E+0000  1.29356106766667E+0002
 7.60000012814999E-0003  1.04317123919293E+0000  1.37054885849784E+0002  1.04317123919293E+0000  1.37054885849784E+0002  1.04317123919293E+0000  1.37054885849784E+0002
 8.39999970048666E-0003  1.04573365943768E+0000  1.02704403903478E+0002  1.04573365943768E+0000  1.02704403903478E+0002  1.04573365943768E+0000  1.02704403903478E+0002
 9.20000020414591E-0003  1.05547486773548E+0000  1.30802602234885E+0002  1.05547486773548E+0000  1.30802602234885E+0002  1.05547486773548E+0000  1.30802602234885E+0002
 9.99999977648258E-0003  1.05150285139375E+0000  1.31281705383650E+0002  1.05150285139375E+0000  1.31281705383650E+0002  1.05150285139375E+0000  1.31281705383650E+0002
 1.08000002801418E-0002  1.05298348756423E+0000  1.65855868364658E+0002  1.05298348756423E+0000  1.65855868364658E+0002  1.05298348756423E+0000  1.65855868364658E+0002
 1.15999998524785E-0002  1.04802357302376E+0000  9.47189382969392E+0001  1.04802357302376E+0000  9.47189382969392E+0001  1.04802357302376E+0000  9.47189382969392E+0001
 1.27999996766448E-0002  1.05529091567900E+0000  1.30453806111961E+0002  1.05529091567900E+0000  1.30453806111961E+0002  1.05529091567900E+0000  1.30453806111961E+0002
 1.43999997526407E-0002  1.04667254788032E+0000  1.52312648818084E+0002  1.04667254788032E+0000  1.52312648818084E+0002  1.04667254788032E+0000  1.52312648818084E+0002
 1.60000007599592E-0002  1.04327697210392E+0000  1.32858244817614E+0002  1.04327697210392E+0000  1.32858244817614E+0002  1.04327697210392E+0000  1.32858244817614E+0002
 1.75999999046326E-0002  1.03827451080961E+0000  1.66968234032814E+0002  1.03827451080961E+0000  1.66968234032814E+0002  1.03827451080961E+0000  1.66968234032814E+0002
 1.92000009119511E-0002  1.04705190372479E+0000  1.87804303174165E+0002  1.04705190372479E+0000  1.87804303174165E+0002  1.04705190372479E+0000  1.87804303174165E+0002
 2.08000000566244E-0002  1.05288801387803E+0000  1.03738182250712E+0002  1.05288801387803E+0000  1.03738182250712E+0002  1.05288801387803E+0000  1.03738182250712E+0002
 2.23999992012978E-0002  1.05558586624859E+0000  2.01058621894649E+0002  1.05558586624859E+0000  2.01058621894649E+0002  1.05558586624859E+0000  2.01058621894649E+0002
 2.40000002086163E-0002  1.04655498037838E+0000  1.83877298162779E+0002  1.04655498037838E+0000  1.83877298162779E+0002  1.04655498037838E+0000  1.83877298162779E+0002
 2.63999998569489E-0002  1.04503571115999E+0000  4.89293568923798E+0002  1.04503571115999E+0000  4.89293568923798E+0002  1.04503571115999E+0000  4.89293568923798E+0002
 2.96000000089407E-0002  1.04117966498157E+0000  2.16135674367965E+0002  1.04117966498157E+0000  2.16135674367965E+0002  1.04117966498157E+0000  2.16135674367965E+0002
 3.28000001609325E-0002  1.03044657124315E+0000  2.98672161424846E+0002  1.03044657124315E+0000  2.98672161424846E+0002  1.03044657124315E+0000  2.98672161424846E+0002
 3.59999984502792E-0002  1.02912528938685E+0000  2.48731558271710E+0002  1.02912528938685E+0000  2.48731558271710E+0002  1.02912528938685E+0000  2.48731558271710E+0002
 3.92000004649162E-0002  1.04023012313081E+0000  1.90323729077703E+0002  1.04023012313081E+0000  1.90323729077703E+0002  1.04023012313081E+0000  1.90323729077703E+0002
 4.23999987542629E-0002  1.03711213072476E+0000  1.95410545810560E+0002  1.03711213072476E+0000  1.95410545810560E+0002  1.03711213072476E+0000  1.95410545810560E+0002
 4.56000007688999E-0002  1.02886358330536E+0000  2.45657753011938E+0002  1.02886358330536E+0000  2.45657753011938E+0002  1.02886358330536E+0000  2.45657753011938E+0002
 4.87999990582466E-0002  1.03328083114155E+0000  1.70412230629925E+0002  1.03328083114155E+0000  1.70412230629925E+0002  1.03328083114155E+0000  1.70412230629925E+0002
 5.35999983549118E-0002  1.02883451528285E+0000  3.95045637305359E+0002  1.02883451528285E+0000  3.95045637305359E+0002  1.02883451528285E+0000  3.95045637305359E+0002
 5.99999986588955E-0002  1.02246238092796E+0000  3.25568890339990E+0002  1.02246238092796E+0000  3.25568890339990E+0002  1.02246238092796E+0000  3.25568890339990E+0002
 6.63999989628792E-0002  1.02347277885420E+0000  3.16256030374754E+0002  1.02347277885420E+0000  3.16256030374754E+0002  1.02347277885420E+0000  3.16256030374754E+0002
 7.28000029921532E-0002  1.01187700006196E+0000  1.92324769789183E+0002  1.01187700006196E+0000  1.92324769789183E+0002  1.01187700006196E+0000  1.92324769789183E+0002
 7.91999995708466E-0002  1.01538961223225E+0000  3.45666297876903E+0002  1.01538961223225E+0000  3.45666297876903E+0002  1.01538961223225E+0000  3.45666297876903E+0002
 8.56000036001206E-0002  1.01408280858250E+0000  5.04463625919530E+0002  1.01408280858250E+0000  5.04463625919530E+0002  1.01408280858250E+0000  5.04463625919530E+0002
 9.20000001788139E-0002  9.99717332403177E-0001  2.53858073548125E+0002  9.99717332403177E-0001  2.53858073548125E+0002  9.99717332403177E-0001  2.53858073548125E+0002
 9.83999967575073E-0002  1.00570414704421E+0000  3.12583233621306E+0002  1.00570414704421E+0000  3.12583233621306E+0002  1.00570414704421E+0000  3.12583233621306E+0002
 1.08000002801418E-0001  9.98039858723421E-0001  2.27873881730907E+0002  9.98039858723421E-0001  2.27873881730907E+0002  9.98039858723421E-0001  2.27873881730907E+0002
 1.20800003409385E-0001  9.95172743259500E-0001  3.77818166399615E+0002  9.95172743259500E-0001  3.77818166399615E+0002  9.95172743259500E-0001  3.77818166399615E+0002
 1.33599996566772E-0001  9.85357912874026E-0001  2.35262931446787E+0002  9.85357912874026E-0001  2.35262931446787E+0002  9.85357912874026E-0001  2.35262931446787E+0002
 1.46400004625320E-0001  9.78076677846532E-0001  2.76317763497274E+0002  9.78076677846532E-0001  2.76317763497274E+0002  9.78076677846532E-0001  2.76317763497274E+0002
 1.59199997782707E-0001  9.74006215052258E-0001  4.77298122089569E+0002  9.74006215052258E-0001  4.77298122089569E+0002  9.74006215052258E-0001  4.77298122089569E+0002
 1.72000005841255E-0001  9.67789504875426E-0001  2.76739861594130E+0002  9.67789504875426E-0001  2.76739861594130E+0002  9.67789504875426E-0001  2.76739861594130E+0002
 1.84799998998642E-0001  9.54371830244034E-0001  2.66310744007561E+0002  9.54371830244034E-0001  2.66310744007561E+0002  9.54371830244034E-0001  2.66310744007561E+0002
 1.97600007057190E-0001  9.53827836694894E-0001  2.99840560700126E+0002  9.53827836694894E-0001  2.99840560700126E+0002  9.53827836694894E-0001  2.99840560700126E+0002
 2.16800004243851E-0001  9.41228147717272E-0001  2.68475190540300E+0002  9.41228147717272E-0001  2.68475190540300E+0002  9.41228147717272E-0001  2.68475190540300E+0002
 2.42400005459785E-0001  9.35143574832095E-0001  3.36140361065484E+0002  9.35143574832095E-0001  3.36140361065484E+0002  9.35143574832095E-0001  3.36140361065484E+0002
 2.68000006675720E-0001  9.22390893118052E-0001  3.48895694097721E+0002  9.22390893118052E-0001  3.48895694097721E+0002  9.22390893118052E-0001  3.48895694097721E+0002
 2.93599992990494E-0001  9.10520426248064E-0001  4.75382284012659E+0002  9.10520426248064E-0001  4.75382284012659E+0002  9.10520426248064E-0001  4.75382284012659E+0002
 3.19200009107590E-0001  8.99331957937148E-0001  4.00273269872551E+0002  8.99331957937148E-0001  4.00273269872551E+0002  8.99331957937148E-0001  4.00273269872551E+0002
 3.44799995422363E-0001  8.91448388329802E-0001  4.72360512475213E+0002  8.91448388329802E-0001  4.72360512475213E+0002  8.91448388329802E-0001  4.72360512475213E+0002
 3.70400011539459E-0001  8.77187950611435E-0001  3.46928472287968E+0002  8.77187950611435E-0001  3.46928472287968E+0002  8.77187950611435E-0001  3.46928472287968E+0002
 3.95999997854233E-0001  8.70695452030072E-0001  3.58729399943086E+0002  8.70695452030072E-0001  3.58729399943086E+0002  8.70695452030072E-0001  3.58729399943086E+0002
 4.34399992227554E-0001  8.55023697336834E-0001  4.71182378263302E+0002  8.55023697336834E-0001  4.71182378263302E+0002  8.55023697336834E-0001  4.71182378263302E+0002
